"a1","a2","a3","a4","id","label","outlier"
5.1,3.5,1.4,0.2,"id_1","Iris-setosa","false"
4.9,3.0,1.4,0.2,"id_2","Iris-setosa","false"
4.7,3.2,1.3,0.2,"id_3","Iris-setosa","false"
4.6,3.1,1.5,0.2,"id_4","Iris-setosa","false"
5.0,3.6,1.4,0.2,"id_5","Iris-setosa","false"
5.4,3.9,1.7,0.4,"id_6","Iris-setosa","false"
4.6,3.4,1.4,0.3,"id_7","Iris-setosa","false"
5.0,3.4,1.5,0.2,"id_8","Iris-setosa","false"
4.4,2.9,1.4,0.2,"id_9","Iris-setosa","false"
4.9,3.1,1.5,0.1,"id_10","Iris-setosa","false"
5.4,3.7,1.5,0.2,"id_11","Iris-setosa","false"
4.8,3.4,1.6,0.2,"id_12","Iris-setosa","false"
4.8,3.0,1.4,0.1,"id_13","Iris-setosa","false"
4.3,3.0,1.1,0.1,"id_14","Iris-setosa","false"
5.8,4.0,1.2,0.2,"id_15","Iris-setosa","false"
5.7,4.4,1.5,0.4,"id_16","Iris-setosa","false"
5.4,3.9,1.3,0.4,"id_17","Iris-setosa","false"
5.1,3.5,1.4,0.3,"id_18","Iris-setosa","false"
5.7,3.8,1.7,0.3,"id_19","Iris-setosa","false"
5.1,3.8,1.5,0.3,"id_20","Iris-setosa","false"
5.4,3.4,1.7,0.2,"id_21","Iris-setosa","false"
5.1,3.7,1.5,0.4,"id_22","Iris-setosa","false"
4.6,3.6,1.0,0.2,"id_23","Iris-setosa","false"
5.1,3.3,1.7,0.5,"id_24","Iris-setosa","false"
4.8,3.4,1.9,0.2,"id_25","Iris-setosa","false"
5.0,3.0,1.6,0.2,"id_26","Iris-setosa","false"
5.0,3.4,1.6,0.4,"id_27","Iris-setosa","false"
5.2,3.5,1.5,0.2,"id_28","Iris-setosa","false"
5.2,3.4,1.4,0.2,"id_29","Iris-setosa","false"
4.7,3.2,1.6,0.2,"id_30","Iris-setosa","false"
4.8,3.1,1.6,0.2,"id_31","Iris-setosa","false"
5.4,3.4,1.5,0.4,"id_32","Iris-setosa","false"
5.2,4.1,1.5,0.1,"id_33","Iris-setosa","false"
5.5,4.2,1.4,0.2,"id_34","Iris-setosa","false"
4.9,3.1,1.5,0.1,"id_35","Iris-setosa","false"
5.0,3.2,1.2,0.2,"id_36","Iris-setosa","false"
5.5,3.5,1.3,0.2,"id_37","Iris-setosa","false"
4.9,3.1,1.5,0.1,"id_38","Iris-setosa","false"
4.4,3.0,1.3,0.2,"id_39","Iris-setosa","false"
5.1,3.4,1.5,0.2,"id_40","Iris-setosa","false"
5.0,3.5,1.3,0.3,"id_41","Iris-setosa","false"
4.5,2.3,1.3,0.3,"id_42","Iris-setosa","false"
4.4,3.2,1.3,0.2,"id_43","Iris-setosa","false"
5.0,3.5,1.6,0.6,"id_44","Iris-setosa","false"
5.1,3.8,1.9,0.4,"id_45","Iris-setosa","false"
4.8,3.0,1.4,0.3,"id_46","Iris-setosa","false"
5.1,3.8,1.6,0.2,"id_47","Iris-setosa","false"
4.6,3.2,1.4,0.2,"id_48","Iris-setosa","false"
